,quality_score,view_certificate_1,view_certificate_2,Cupping Protocol and Descriptors,View Green Analysis Details,Request a Sample,Species,Owner,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner.1,Variety,Status,Processing Method,NA,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,NA.1,Uniformity,Clean Cup,Sweetness,Cupper Points,Total Cup Points,NA.2,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA.3,Expiration,Certification Body,Certification Address,Certification Contact,,Notes
0,90.58,,,,,,Arabica,metad plc,Ethiopia,METAD PLC,,METAD PLC,2014/2015,METAD Agricultural Developmet plc,1950-2200,GUJI-HAMBELA/GOYO,METAD PLC,300,60 kg,METAD Agricultural Development plc,2014,"April 4th, 2015",metad plc,,Completed,Washed / Wet,Sample,8.67,8.83,8.67,8.75,8.5,8.42,Sample,10,10,10,8.75,Sample  90.58,,12 %,0 full defects,0,Green,0 full defects,,"April 3rd, 2016",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",,
1,89.92,,,,,,Arabica,metad plc,Ethiopia,METAD PLC,,METAD PLC,2014/2015,METAD Agricultural Developmet plc,1950-2200,GUJI-HAMBELA/ALAKA,METAD PLC,300,60 kg,METAD Agricultural Development plc,2014,"April 4th, 2015",metad plc,Other,Completed,Washed / Wet,Sample,8.75,8.67,8.5,8.58,8.42,8.42,Sample,10,10,10,8.58,Sample  89.92,,12 %,0 full defects,0,Green,1 full defects,,"April 3rd, 2016",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",,
2,89.75,,,,,,Arabica,Grounds for Health Admin,Guatemala,"San Marcos Barrancas ""San Cristobal Cuch",,,,,1600 - 1800 m,,,5,1,Specialty Coffee Association,,"May 31st, 2010",Grounds for Health Admin,Bourbon,Completed,,Sample,8.42,8.5,8.42,8.42,8.33,8.42,Sample,10,10,10,9.25,Sample  89.75,,0 %,0 full defects,0,,0 full defects,,"May 31st, 2011",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
3,89,,,,,,Arabica,Yidnekachew Dabessa,Ethiopia,Yidnekachew Dabessa Coffee Plantation,,Wolensu,,Yidnekachew Debessa Coffee Plantation,1800-2200,Oromia,Yidnekachew Dabessa Coffee Plantation,320,60 kg,METAD Agricultural Development plc,2014,"March 26th, 2015",Yidnekachew Dabessa,,Completed,Natural / Dry,Sample,8.17,8.58,8.42,8.42,8.5,8.25,Sample,10,10,10,8.67,Sample  89.00,,11 %,0 full defects,0,Green,2 full defects,,"March 25th, 2016",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",,
4,88.83,,,,,,Arabica,metad plc,Ethiopia,METAD PLC,,METAD PLC,2014/2015,METAD Agricultural Developmet plc,1950-2200,GUJI-HAMBELA/BISHAN FUGU,METAD PLC,300,60 kg,METAD Agricultural Development plc,2014,"April 4th, 2015",metad plc,Other,Completed,Washed / Wet,Sample,8.25,8.5,8.25,8.5,8.42,8.33,Sample,10,10,10,8.58,Sample  88.83,,12 %,0 full defects,0,Green,2 full defects,,"April 3rd, 2016",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",,
5,88.83,,,,,,Arabica,Ji-Ae Ahn,Brazil,,,,,,,,,100,30 kg,Specialty Coffee Institute of Asia,2013,"September 3rd, 2013",Ji-Ae Ahn,,Completed,Natural / Dry,Sample,8.58,8.42,8.42,8.5,8.25,8.33,Sample,10,10,10,8.33,Sample  88.83,,11 %,0 full defects,0,Bluish-Green,1 full defects,,"September 3rd, 2014",Specialty Coffee Institute of Asia,"3F, 259-1 Ulgiro-3-ga, Joong-gu, Seoul, South Korea, Zip code:100-847","Sung-Yong Steven Kil - 82-10-7912-1456-English, 82-2269-1456-Korean",,
6,88.75,,,,,,Arabica,Hugo Valdivia,Peru,n/a,,HVC,,Richmond Investment-coffee department,,,HVC,100,69 kg,Specialty Coffee Institute of Asia,2012,"September 17th, 2012",Hugo Valdivia,Other,Completed,Washed / Wet,Sample,8.42,8.5,8.33,8.5,8.25,8.25,Sample,10,10,10,8.5,Sample  88.75,,11 %,0 full defects,0,Bluish-Green,0 full defects,,"September 17th, 2013",Specialty Coffee Institute of Asia,"3F, 259-1 Ulgiro-3-ga, Joong-gu, Seoul, South Korea, Zip code:100-847","Sung-Yong Steven Kil - 82-10-7912-1456-English, 82-2269-1456-Korean",,
7,88.67,,,,,,Arabica,Ethiopia Commodity Exchange,Ethiopia,Aolme,,C.P.W.E,010/0338,,1570-1700,Oromia,Bazen Agricultural & Industrial Dev't Plc,300,60 kg,Ethiopia Commodity Exchange,March 2010,"September 2nd, 2010",Ethiopia Commodity Exchange,,Completed,,Sample,8.25,8.33,8.5,8.42,8.33,8.5,Sample,10,10,9.33,9,Sample  88.67,,3 %,0 full defects,0,,0 full defects,,"September 2nd, 2011",Ethiopia Commodity Exchange,"Al-Sam Tower 2, 3rd Floor Lideta, Addis Ababa, Ethiopia",- +251 11 554 7001,,
8,88.42,,,,,,Arabica,Ethiopia Commodity Exchange,Ethiopia,Aolme,,C.P.W.E,010/0338,,1570-1700,Oromiya,Bazen Agricultural & Industrial Dev't Plc,300,60 kg,Ethiopia Commodity Exchange,March 2010,"September 2nd, 2010",Ethiopia Commodity Exchange,,Completed,,Sample,8.67,8.67,8.58,8.42,8.33,8.42,Sample,9.33,10,9.33,8.67,Sample  88.42,,3 %,0 full defects,0,,0 full defects,,"September 2nd, 2011",Ethiopia Commodity Exchange,"Al-Sam Tower 2, 3rd Floor Lideta, Addis Ababa, Ethiopia",- +251 11 554 7001,,
9,88.25,,,,,,Arabica,Diamond Enterprise Plc,Ethiopia,Tulla Coffee Farm,,Tulla Coffee Farm,2014/15,DIAMOND ENTERPRISE PLC,1795-1850,"SNNP/Kaffa Zone,GimboWereda",Diamond Enterprise Plc,50,60 kg,METAD Agricultural Development plc,2014,"March 30th, 2015",Diamond Enterprise Plc,Other,Completed,Natural / Dry,Sample,8.08,8.58,8.5,8.5,7.67,8.42,Sample,10,10,10,8.5,Sample  88.25,,10 %,0 full defects,0,Green,4 full defects,,"March 29th, 2016",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",,
