"","Species","Owner","Country.of.Origin","Farm.Name","Lot.Number","Mill","ICO.Number","Company","Altitude","Region","Producer","Number.of.Bags","Bag.Weight","In.Country.Partner","Harvest.Year","Grading.Date","Owner.1","Variety","Processing.Method","Fragrance...Aroma","Flavor","Aftertaste","Salt...Acid","Bitter...Sweet","Mouthfeel","Uniform.Cup","Clean.Cup","Balance","Cupper.Points","Total.Cup.Points","Moisture","Category.One.Defects","Quakers","Color","Category.Two.Defects","Expiration","Certification.Body","Certification.Address","Certification.Contact","unit_of_measurement","altitude_low_meters","altitude_high_meters","altitude_mean_meters"
"1","Robusta","ankole coffee producers coop","Uganda","kyangundu cooperative society","","ankole coffee producers","0","ankole coffee producers coop","1488","sheema south western","Ankole coffee producers coop",300,"60 kg","Uganda Coffee Development Authority",2013,"June 26th, 2014","Ankole coffee producers coop","","",7.83,8.08,7.75,7.92,8,8.25,10,10,7.92,8,83.75,0.12,0,0,"Green",2,"June 26th, 2015","Uganda Coffee Development Authority","e36d0270932c3b657e96b7b0278dfd85dc0fe743","03077a1c6bac60e6f514691634a7f6eb5c85aae8","m",1488,1488,1488
"2","Robusta","nishant gurjer","India","sethuraman estate kaapi royale","25","sethuraman estate","14/1148/2017/21","kaapi royale","3170","chikmagalur karnataka indua","Nishant Gurjer Kaapi Royale",320,"60 kg","Specialty Coffee Association",2017,"October 31st, 2017","Nishant Gurjer","","Washed / Wet",8,7.75,7.92,8,8,7.92,10,10,7.92,8,83.5,0,0,0,"",2,"October 31st, 2018","Specialty Coffee Association","ff7c18ad303d4b603ac3f8cff7e611ffc735e720","352d0cf7f3e9be14dad7df644ad65efc27605ae2","m",3170,3170,3170
"3","Robusta","andrew hetzel","India","sethuraman estate","","","0000","sethuraman estate","1000m","chikmagalur","Nishant Gurjer",300,"2 kg","Specialty Coffee Association",2015,"April 30th, 2015","Andrew Hetzel","","",7.92,7.83,7.92,8,7.83,7.83,10,10,7.92,8,83.25,0,0,0,"Green",0,"April 29th, 2016","Specialty Coffee Association","ff7c18ad303d4b603ac3f8cff7e611ffc735e720","352d0cf7f3e9be14dad7df644ad65efc27605ae2","m",1000,1000,1000
"4","Robusta","ugacof","Uganda","ugacof project area","","ugacof","0","ugacof ltd","1212","central","UGACOF",320,"60 kg","Uganda Coffee Development Authority",2013,"July 14th, 2014","UGACOF","","",8,7.92,7.92,7.75,7.75,7.83,10,10,7.75,8.08,83,0.12,0,0,"Green",7,"July 14th, 2015","Uganda Coffee Development Authority","e36d0270932c3b657e96b7b0278dfd85dc0fe743","03077a1c6bac60e6f514691634a7f6eb5c85aae8","m",1212,1212,1212
"5","Robusta","katuka development trust ltd","Uganda","katikamu capca farmers association","","katuka development trust","0","katuka development trust ltd","1200-1300","luwero central region","Katuka Development Trust Ltd",1,"60 kg","Uganda Coffee Development Authority",2013,"June 26th, 2014","Katuka Development Trust Ltd","","",8.33,7.83,7.83,7.75,7.58,8.25,10,10,7.75,7.67,83,0.12,0,0,"Green",3,"June 26th, 2015","Uganda Coffee Development Authority","e36d0270932c3b657e96b7b0278dfd85dc0fe743","03077a1c6bac60e6f514691634a7f6eb5c85aae8","m",1200,1300,1250
"6","Robusta","andrew hetzel","India","","","(self)","","cafemakers, llc","3000'","chikmagalur","Sethuraman Estates",200,"1 kg","Specialty Coffee Association",2012,"February 29th, 2012","Andrew Hetzel","","",8,7.92,7.67,8,7.75,7.75,10,10,7.92,7.75,82.75,0,0,0,"Green",0,"February 28th, 2013","Specialty Coffee Association","ff7c18ad303d4b603ac3f8cff7e611ffc735e720","352d0cf7f3e9be14dad7df644ad65efc27605ae2","m",3000,3000,3000
"7","Robusta","andrew hetzel","India","sethuraman estates","","","","cafemakers","750m","chikmagalur","Nishant Gurjer",320,"2 kg","Specialty Coffee Association",2014,"May 15th, 2014","Andrew Hetzel","","",7.67,7.75,7.83,7.83,8,7.92,10,10,7.75,7.83,82.58,0,0,0,"Green",0,"May 15th, 2015","Specialty Coffee Association","ff7c18ad303d4b603ac3f8cff7e611ffc735e720","352d0cf7f3e9be14dad7df644ad65efc27605ae2","m",750,750,750
"8","Robusta","nishant gurjer","India","sethuraman estate kaapi royale","7","sethuraman estate","14/1148/2017/18","kaapi royale","3140","chikmagalur karnataka india","Nishant Gurjer Kaapi Royale",320,"60 kg","Specialty Coffee Association",2017,"October 25th, 2017","Nishant Gurjer","","Washed / Wet",7.67,7.75,7.83,7.67,7.92,7.92,10,10,7.83,7.92,82.5,0.1,0,0,"Bluish-Green",0,"October 25th, 2018","Specialty Coffee Association","ff7c18ad303d4b603ac3f8cff7e611ffc735e720","352d0cf7f3e9be14dad7df644ad65efc27605ae2","m",3140,3140,3140
"9","Robusta","nishant gurjer","India","sethuraman estate","RKR","sethuraman estate","14/1148/2016/17","kaapi royale","1000","chikmagalur karnataka","Sethuraman Estate Kaapi Royale",320,"60 kg","Specialty Coffee Association",2015,"August 17th, 2016","Nishant Gurjer","Other","Washed / Wet",7.67,7.75,7.58,7.83,7.92,7.83,10,10,8,7.92,82.5,0.09,0,0,"Green",0,"August 17th, 2017","Specialty Coffee Association","ff7c18ad303d4b603ac3f8cff7e611ffc735e720","352d0cf7f3e9be14dad7df644ad65efc27605ae2","m",1000,1000,1000
"10","Robusta","ugacof","Uganda","ishaka","","nsubuga umar","0","ugacof ltd","900-1300","western","Nsubuga Umar",320,"60 kg","Uganda Coffee Development Authority",2014,"August 5th, 2014","UGACOF","","",7.67,7.83,7.83,7.83,7.75,7.92,10,10,7.75,7.83,82.42,0.12,0,0,"Green",6,"August 5th, 2015","Uganda Coffee Development Authority","e36d0270932c3b657e96b7b0278dfd85dc0fe743","03077a1c6bac60e6f514691634a7f6eb5c85aae8","m",900,1300,1100
